split,月份,字段,缺失率,零值率,均值,中位数
train,2026-01,LIQ_PROD_DAILY,0.32028770890628305,0.0,32.94267662620604,28.9
train,2026-01,OIL_PROD_DAILY,0.32028770890628305,0.0,5.771216931216931,2.48
train,2026-01,WATER_CUT,0.32028770890628305,0.0,84.5335698723934,90.02
train,2026-01,WH_TEMP,0.32028770890628305,0.0,95.08057889822597,95.0
train,2026-01,MAX_TUBING_PRES,0.016077850645229534,0.3042098582610535,0.28211567404859167,0.25
train,2026-02,LIQ_PROD_DAILY,0.3514460999123576,0.0,35.716280405405406,33.1
train,2026-02,OIL_PROD_DAILY,0.3514460999123576,0.0,5.828175675675676,2.685
train,2026-02,WATER_CUT,0.3514460999123576,0.0,85.71231418918919,90.3
train,2026-02,WH_TEMP,0.3514460999123576,0.0,107.77195945945945,111.0
train,2026-02,MAX_TUBING_PRES,0.017309377738825592,0.33413672217353196,0.2957413600891862,0.26
test,2026-03,LIQ_PROD_DAILY,0.3344547793390065,0.0,30.138962236098727,25.1
test,2026-03,OIL_PROD_DAILY,0.3344547793390065,0.0,5.728352661314302,2.59
test,2026-03,WATER_CUT,0.3344547793390065,0.0,82.97502527505203,88.5
test,2026-03,WH_TEMP,0.3344547793390065,0.0,103.79393398751115,106.0
test,2026-03,MAX_TUBING_PRES,0.017811201266574313,0.3166435780724322,0.27647189200080596,0.24
test,2026-04,LIQ_PROD_DAILY,0.3132924335378323,0.0,29.368841572364506,25.0
test,2026-04,OIL_PROD_DAILY,0.3132924335378323,0.0,5.670774270399047,2.285
test,2026-04,WATER_CUT,0.3132924335378323,0.0,82.97027397260274,88.285
test,2026-04,WH_TEMP,0.3132924335378323,0.0,104.7656343061346,108.0
test,2026-04,MAX_TUBING_PRES,0.018609406952965236,0.29468302658486706,0.2721129401958741,0.24
test,2026-05,LIQ_PROD_DAILY,0.3057589550761924,0.0,29.23160205245154,23.9
test,2026-05,OIL_PROD_DAILY,0.3057589550761924,0.0,5.745889395667048,2.14
test,2026-05,WATER_CUT,0.3057589550761924,0.0,83.06013397947547,87.59
test,2026-05,WH_TEMP,0.3057589550761924,0.0,104.59093500570125,109.0
test,2026-05,MAX_TUBING_PRES,0.04413219869384524,0.2616267563823471,0.3026293995859213,0.27
