split,月份,字段,均值,中位数,缺失率
train,2025-11,WATER_CUT,91.71859728506787,95.475,0.07916666666666666
train,2025-11,WH_TEMP,80.17024886877829,82.0,0.07916666666666666
train,2025-11,MAX_TUBING_PRES,0.3453645833333333,0.21,0.0
train,2025-12,INJ_VOL_DAILY,91.54811715481172,80.0,0.2772177419354839
train,2025-12,LIQ_PROD_DAILY,23.331152579582877,20.3,0.08165322580645161
train,2025-12,OIL_PROD_DAILY,1.544259055982437,0.79,0.08165322580645161
train,2025-12,WATER_CUT,91.89774972557629,95.995,0.08165322580645161
train,2025-12,WH_TEMP,78.90515916575193,80.0,0.08165322580645161
train,2025-12,MAX_TUBING_PRES,0.3764219234746639,0.25,0.025201612903225805
train,2026-01,INJ_VOL_DAILY,87.7205707491082,80.0,0.15221774193548387
train,2026-01,LIQ_PROD_DAILY,26.49778718258767,21.9,0.1663306451612903
train,2026-01,OIL_PROD_DAILY,2.0680048367593713,0.83,0.1663306451612903
train,2026-01,WATER_CUT,91.30250302297462,95.4,0.1663306451612903
train,2026-01,WH_TEMP,89.16070133010882,93.0,0.1663306451612903
train,2026-01,MAX_TUBING_PRES,0.4621198668146504,0.3,0.09173387096774194
train,2026-02,INJ_VOL_DAILY,95.1786941580756,60.0,0.35044642857142855
train,2026-02,LIQ_PROD_DAILY,28.803833333333337,25.4,0.19642857142857142
train,2026-02,OIL_PROD_DAILY,2.547305555555556,1.03,0.19642857142857142
train,2026-02,WATER_CUT,91.09184722222223,95.2,0.19642857142857142
train,2026-02,WH_TEMP,101.37083333333334,95.5,0.19642857142857142
train,2026-02,MAX_TUBING_PRES,0.511854748603352,0.3,0.0011160714285714285
test,2026-03,INJ_VOL_DAILY,53.22198731501057,60.0,0.5231854838709677
test,2026-03,LIQ_PROD_DAILY,24.669556541019958,21.15,0.0907258064516129
test,2026-03,OIL_PROD_DAILY,2.4169623059866963,1.1600000000000001,0.0907258064516129
test,2026-03,WATER_CUT,89.2186197339246,92.83,0.0907258064516129
test,2026-03,WH_TEMP,93.06263858093126,89.0,0.0907258064516129
test,2026-03,MAX_TUBING_PRES,0.41938446014127145,0.27,0.0010080645161290322
test,2026-04,INJ_VOL_DAILY,100.87968441814596,60.0,0.471875
test,2026-04,LIQ_PROD_DAILY,24.085939024390246,24.4,0.14583333333333334
test,2026-04,OIL_PROD_DAILY,2.596426829268293,1.03,0.14583333333333334
test,2026-04,WATER_CUT,88.41541463414636,93.41,0.14583333333333334
test,2026-04,WH_TEMP,92.87987804878048,89.0,0.14583333333333334
test,2026-04,MAX_TUBING_PRES,0.3655121436114045,0.26,0.013541666666666667
test,2026-05,INJ_VOL_DAILY,116.9746835443038,60.0,0.6018145161290323
test,2026-05,LIQ_PROD_DAILY,25.78903935185185,23.6,0.12903225806451613
test,2026-05,OIL_PROD_DAILY,2.7616666666666667,1.03,0.12903225806451613
test,2026-05,WATER_CUT,89.37705439814815,94.18,0.12903225806451613
test,2026-05,WH_TEMP,96.42743055555556,98.0,0.12903225806451613
test,2026-05,MAX_TUBING_PRES,0.48753910323253397,0.3,0.03326612903225806
