split,WELL_GROUP_NAME,LIQ_PROD_DAILY,OIL_PROD_DAILY,WATER_CUT,WH_TEMP,MAX_TUBING_PRES
train,G102,0.10743801652892562,0.10743801652892562,0.10743801652892562,0.10743801652892562,0.0
train,G103,0.14600550964187328,0.14600550964187328,0.14600550964187328,0.14600550964187328,0.0
train,G104,0.09917355371900827,0.09917355371900827,0.09917355371900827,0.09917355371900827,0.0
train,G105,0.38016528925619836,0.38016528925619836,0.38016528925619836,0.38016528925619836,0.0
train,G106,0.09366391184573003,0.09366391184573003,0.09366391184573003,0.09366391184573003,0.0
train,G107,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.0
train,G108,0.07162534435261708,0.07162534435261708,0.07162534435261708,0.07162534435261708,0.0
train,G109,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.0
train,G110,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.0
train,G111,0.0,0.0,0.0,0.0,0.0
train,G112,0.0,0.0,0.0,0.0,0.0
test,G001,0.0,0.0,0.0,0.0,0.0
test,G002,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.010869565217391304
test,G003,0.0,0.0,0.0,0.0,0.0
test,G004,0.0,0.0,0.0,0.0,0.0
test,G005,0.0,0.0,0.0,0.0,0.0
test,G006,0.0,0.0,0.0,0.0,0.0
test,G007,0.0,0.0,0.0,0.0,0.0
test,G008,0.0,0.0,0.0,0.0,0.0
test,G009,0.0,0.0,0.0,0.0,0.0
test,G010,0.0,0.0,0.0,0.0,0.0
test,G011,0.0,0.0,0.0,0.0,0.0
test,G012,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.0
test,G013,0.0,0.0,0.0,0.0,0.0
test,G014,0.0,0.0,0.0,0.0,0.0
test,G015,1.0,1.0,1.0,1.0,0.0
test,G016,0.0,0.0,0.0,0.0,0.0
test,G017,0.0,0.0,0.0,0.0,0.0
test,G018,0.0,0.0,0.0,0.0,0.0
test,G019,0.0,0.0,0.0,0.0,0.0
test,G020,0.0,0.0,0.0,0.0,0.0
test,G021,0.0,0.0,0.0,0.0,0.0
test,G022,0.0,0.0,0.0,0.0,0.0
test,G023,0.0,0.0,0.0,0.0,0.0
test,G024,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.0
test,G025,0.25,0.25,0.25,0.25,0.0
test,G026,0.11956521739130435,0.11956521739130435,0.11956521739130435,0.11956521739130435,0.0
test,G027,0.0,0.0,0.0,0.0,0.0
test,G028,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.010869565217391304
test,G029,0.0,0.0,0.0,0.0,0.0
test,G030,0.5543478260869565,0.5543478260869565,0.5543478260869565,0.5543478260869565,0.0
test,G031,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.0
test,G032,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.0
test,G033,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0
test,G034,0.0,0.0,0.0,0.0,0.0
test,G035,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.0
test,G036,0.0,0.0,0.0,0.0,0.0
test,G037,0.0,0.0,0.0,0.0,0.0
