split,WELL_GROUP_NAME,WELL_NAME,首日,末日,跨度天数,有记录天数,LIQ_PROD_DAILY_有效天数,LIQ_PROD_DAILY_跨度覆盖率,OIL_PROD_DAILY_有效天数,OIL_PROD_DAILY_跨度覆盖率,WATER_CUT_有效天数,WATER_CUT_跨度覆盖率,WH_TEMP_有效天数,WH_TEMP_跨度覆盖率,MAX_TUBING_PRES_有效天数,MAX_TUBING_PRES_跨度覆盖率
train,G037,W278,2025-03-01,2026-02-28,365,363,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411
train,G038,W279,2025-03-01,2026-02-28,365,363,333,0.9123287671232877,333,0.9123287671232877,333,0.9123287671232877,333,0.9123287671232877,361,0.989041095890411
train,G039,W280,2025-03-01,2026-02-28,365,363,351,0.9616438356164384,351,0.9616438356164384,351,0.9616438356164384,351,0.9616438356164384,362,0.9917808219178083
train,G040,W281,2025-03-01,2026-02-28,365,363,341,0.9342465753424658,341,0.9342465753424658,341,0.9342465753424658,341,0.9342465753424658,360,0.9863013698630136
train,G041,W282,2025-03-01,2026-02-28,365,363,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083
train,G042,W267,2025-03-01,2026-02-28,365,363,316,0.8657534246575342,316,0.8657534246575342,316,0.8657534246575342,316,0.8657534246575342,363,0.9945205479452055
train,G042,W283,2025-03-01,2026-02-28,365,363,313,0.8575342465753425,313,0.8575342465753425,313,0.8575342465753425,313,0.8575342465753425,362,0.9917808219178083
train,G043,W287,2025-03-01,2026-02-28,365,363,335,0.9178082191780822,335,0.9178082191780822,335,0.9178082191780822,335,0.9178082191780822,363,0.9945205479452055
train,G044,W288,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G045,W289,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G046,W290,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G047,W005,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G047,W018,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G047,W020,2025-03-01,2025-09-24,208,208,188,0.9038461538461539,188,0.9038461538461539,188,0.9038461538461539,188,0.9038461538461539,207,0.9951923076923077
train,G047,W291,2025-03-01,2026-02-28,365,363,347,0.9506849315068493,347,0.9506849315068493,347,0.9506849315068493,347,0.9506849315068493,363,0.9945205479452055
train,G048,W006,2025-03-01,2025-09-24,208,208,203,0.9759615384615384,203,0.9759615384615384,203,0.9759615384615384,203,0.9759615384615384,206,0.9903846153846154
train,G048,W292,2025-03-01,2026-02-28,365,363,358,0.9808219178082191,358,0.9808219178082191,358,0.9808219178082191,358,0.9808219178082191,363,0.9945205479452055
train,G049,W008,2025-03-01,2025-09-24,208,208,205,0.9855769230769231,205,0.9855769230769231,205,0.9855769230769231,205,0.9855769230769231,208,1.0
train,G049,W297,2025-03-01,2026-02-28,365,363,301,0.8246575342465754,301,0.8246575342465754,301,0.8246575342465754,301,0.8246575342465754,363,0.9945205479452055
train,G050,W082,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,175,0.9510869565217391
train,G050,W186,2025-03-01,2025-08-31,184,184,82,0.44565217391304346,82,0.44565217391304346,82,0.44565217391304346,82,0.44565217391304346,174,0.9456521739130435
train,G050,W298,2025-03-01,2026-02-28,365,363,321,0.8794520547945206,321,0.8794520547945206,321,0.8794520547945206,321,0.8794520547945206,363,0.9945205479452055
train,G051,W299,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,362,0.9917808219178083
train,G051,W344,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G051,W345,2025-03-01,2026-02-28,365,363,178,0.4876712328767123,178,0.4876712328767123,178,0.4876712328767123,178,0.4876712328767123,362,0.9917808219178083
train,G052,W300,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G052,W346,2025-03-01,2026-02-28,365,363,353,0.9671232876712329,353,0.9671232876712329,353,0.9671232876712329,353,0.9671232876712329,363,0.9945205479452055
train,G052,W347,2025-03-01,2026-02-28,365,363,356,0.9753424657534246,356,0.9753424657534246,356,0.9753424657534246,356,0.9753424657534246,363,0.9945205479452055
train,G053,W301,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G053,W347,2025-03-01,2026-02-28,365,363,356,0.9753424657534246,356,0.9753424657534246,356,0.9753424657534246,356,0.9753424657534246,363,0.9945205479452055
train,G053,W348,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,363,0.9945205479452055
train,G054,W302,2025-03-01,2026-02-28,365,363,347,0.9506849315068493,347,0.9506849315068493,347,0.9506849315068493,347,0.9506849315068493,363,0.9945205479452055
train,G054,W348,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,363,0.9945205479452055
train,G054,W349,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,363,0.9945205479452055
